">epoch=1, lrate=0.001, train_error=0.998, train_acc=0.289, test_error=0.964, test_acc=0.084"
">epoch=2, lrate=0.001, train_error=0.944, train_acc=0.350, test_error=0.936, test_acc=0.096"
">epoch=3, lrate=0.001, train_error=0.914, train_acc=0.398, test_error=0.907, test_acc=0.105"
">epoch=4, lrate=0.001, train_error=0.884, train_acc=0.440, test_error=0.878, test_acc=0.116"
">epoch=5, lrate=0.001, train_error=0.854, train_acc=0.479, test_error=0.850, test_acc=0.124"
">epoch=6, lrate=0.001, train_error=0.825, train_acc=0.506, test_error=0.824, test_acc=0.129"
">epoch=7, lrate=0.001, train_error=0.799, train_acc=0.530, test_error=0.800, test_acc=0.131"
">epoch=8, lrate=0.001, train_error=0.776, train_acc=0.555, test_error=0.781, test_acc=0.133"
">epoch=9, lrate=0.001, train_error=0.758, train_acc=0.565, test_error=0.762, test_acc=0.137"
">epoch=10, lrate=0.001, train_error=0.737, train_acc=0.580, test_error=0.740, test_acc=0.139"
">epoch=11, lrate=0.001, train_error=0.711, train_acc=0.605, test_error=0.716, test_acc=0.145"
">epoch=12, lrate=0.001, train_error=0.689, train_acc=0.623, test_error=0.698, test_acc=0.147"
">epoch=13, lrate=0.001, train_error=0.669, train_acc=0.638, test_error=0.682, test_acc=0.149"
">epoch=14, lrate=0.001, train_error=0.650, train_acc=0.649, test_error=0.668, test_acc=0.151"
">epoch=15, lrate=0.001, train_error=0.633, train_acc=0.661, test_error=0.657, test_acc=0.153"
">epoch=16, lrate=0.001, train_error=0.619, train_acc=0.669, test_error=0.649, test_acc=0.154"
">epoch=17, lrate=0.001, train_error=0.607, train_acc=0.679, test_error=0.643, test_acc=0.155"
">epoch=18, lrate=0.001, train_error=0.598, train_acc=0.680, test_error=0.640, test_acc=0.156"
">epoch=19, lrate=0.001, train_error=0.591, train_acc=0.677, test_error=0.638, test_acc=0.156"
">epoch=20, lrate=0.001, train_error=0.587, train_acc=0.677, test_error=0.637, test_acc=0.156"
">epoch=21, lrate=0.001, train_error=0.586, train_acc=0.671, test_error=0.638, test_acc=0.157"
">epoch=22, lrate=0.001, train_error=0.588, train_acc=0.667, test_error=0.640, test_acc=0.157"
">epoch=23, lrate=0.001, train_error=0.593, train_acc=0.661, test_error=0.646, test_acc=0.158"
">epoch=24, lrate=0.001, train_error=0.601, train_acc=0.656, test_error=0.656, test_acc=0.158"
">epoch=25, lrate=0.001, train_error=0.615, train_acc=0.644, test_error=0.668, test_acc=0.156"
">epoch=26, lrate=0.001, train_error=0.631, train_acc=0.632, test_error=0.683, test_acc=0.153"
">epoch=27, lrate=0.001, train_error=0.645, train_acc=0.619, test_error=0.692, test_acc=0.152"
">epoch=28, lrate=0.001, train_error=0.645, train_acc=0.620, test_error=0.683, test_acc=0.153"
">epoch=29, lrate=0.001, train_error=0.633, train_acc=0.628, test_error=0.678, test_acc=0.152"
">epoch=30, lrate=0.001, train_error=0.621, train_acc=0.634, test_error=0.675, test_acc=0.154"
">epoch=31, lrate=0.001, train_error=0.613, train_acc=0.640, test_error=0.667, test_acc=0.155"
">epoch=32, lrate=0.001, train_error=0.607, train_acc=0.644, test_error=0.664, test_acc=0.155"
">epoch=33, lrate=0.001, train_error=0.602, train_acc=0.645, test_error=0.659, test_acc=0.155"
">epoch=34, lrate=0.001, train_error=0.597, train_acc=0.652, test_error=0.653, test_acc=0.156"
">epoch=35, lrate=0.001, train_error=0.592, train_acc=0.655, test_error=0.646, test_acc=0.156"
">epoch=36, lrate=0.001, train_error=0.589, train_acc=0.656, test_error=0.639, test_acc=0.157"
">epoch=37, lrate=0.001, train_error=0.586, train_acc=0.658, test_error=0.636, test_acc=0.158"
">epoch=38, lrate=0.001, train_error=0.584, train_acc=0.660, test_error=0.635, test_acc=0.159"
">epoch=39, lrate=0.001, train_error=0.583, train_acc=0.659, test_error=0.634, test_acc=0.159"
">epoch=40, lrate=0.001, train_error=0.583, train_acc=0.659, test_error=0.635, test_acc=0.158"
">epoch=41, lrate=0.001, train_error=0.583, train_acc=0.658, test_error=0.635, test_acc=0.159"
">epoch=42, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.637, test_acc=0.158"
">epoch=43, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.640, test_acc=0.158"
">epoch=44, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.640, test_acc=0.159"
">epoch=45, lrate=0.001, train_error=0.583, train_acc=0.656, test_error=0.642, test_acc=0.160"
">epoch=46, lrate=0.001, train_error=0.584, train_acc=0.656, test_error=0.645, test_acc=0.159"
">epoch=47, lrate=0.001, train_error=0.584, train_acc=0.655, test_error=0.647, test_acc=0.159"
">epoch=48, lrate=0.001, train_error=0.585, train_acc=0.655, test_error=0.651, test_acc=0.159"
">epoch=49, lrate=0.001, train_error=0.584, train_acc=0.657, test_error=0.653, test_acc=0.159"
">epoch=50, lrate=0.001, train_error=0.582, train_acc=0.658, test_error=0.655, test_acc=0.158"
">epoch=51, lrate=0.001, train_error=0.580, train_acc=0.659, test_error=0.654, test_acc=0.158"
">epoch=52, lrate=0.001, train_error=0.578, train_acc=0.662, test_error=0.652, test_acc=0.157"
">epoch=53, lrate=0.001, train_error=0.574, train_acc=0.664, test_error=0.652, test_acc=0.157"
">epoch=54, lrate=0.001, train_error=0.571, train_acc=0.667, test_error=0.650, test_acc=0.156"
">epoch=55, lrate=0.001, train_error=0.566, train_acc=0.670, test_error=0.648, test_acc=0.156"
">epoch=56, lrate=0.001, train_error=0.562, train_acc=0.672, test_error=0.647, test_acc=0.156"
">epoch=57, lrate=0.001, train_error=0.557, train_acc=0.674, test_error=0.645, test_acc=0.156"
">epoch=58, lrate=0.001, train_error=0.551, train_acc=0.678, test_error=0.643, test_acc=0.156"
">epoch=59, lrate=0.001, train_error=0.546, train_acc=0.682, test_error=0.641, test_acc=0.156"
">epoch=60, lrate=0.001, train_error=0.539, train_acc=0.691, test_error=0.639, test_acc=0.156"
">epoch=61, lrate=0.001, train_error=0.533, train_acc=0.694, test_error=0.637, test_acc=0.156"
">epoch=62, lrate=0.001, train_error=0.528, train_acc=0.697, test_error=0.635, test_acc=0.155"
">epoch=63, lrate=0.001, train_error=0.523, train_acc=0.700, test_error=0.634, test_acc=0.156"
">epoch=64, lrate=0.001, train_error=0.519, train_acc=0.702, test_error=0.636, test_acc=0.156"
">epoch=65, lrate=0.001, train_error=0.516, train_acc=0.704, test_error=0.638, test_acc=0.156"
">epoch=66, lrate=0.001, train_error=0.513, train_acc=0.706, test_error=0.641, test_acc=0.155"
">epoch=67, lrate=0.001, train_error=0.510, train_acc=0.706, test_error=0.645, test_acc=0.155"
">epoch=68, lrate=0.001, train_error=0.508, train_acc=0.708, test_error=0.650, test_acc=0.155"
">epoch=69, lrate=0.001, train_error=0.507, train_acc=0.710, test_error=0.661, test_acc=0.154"
">epoch=70, lrate=0.001, train_error=0.506, train_acc=0.712, test_error=0.666, test_acc=0.155"
">epoch=71, lrate=0.001, train_error=0.505, train_acc=0.713, test_error=0.670, test_acc=0.155"
">epoch=72, lrate=0.001, train_error=0.504, train_acc=0.713, test_error=0.672, test_acc=0.155"
">epoch=73, lrate=0.001, train_error=0.503, train_acc=0.713, test_error=0.676, test_acc=0.155"
">epoch=74, lrate=0.001, train_error=0.503, train_acc=0.713, test_error=0.680, test_acc=0.156"
">epoch=75, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.684, test_acc=0.156"
">epoch=76, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.684, test_acc=0.155"
">epoch=77, lrate=0.001, train_error=0.503, train_acc=0.715, test_error=0.687, test_acc=0.156"
">epoch=78, lrate=0.001, train_error=0.503, train_acc=0.717, test_error=0.688, test_acc=0.156"
">epoch=79, lrate=0.001, train_error=0.500, train_acc=0.719, test_error=0.676, test_acc=0.157"
">epoch=80, lrate=0.001, train_error=0.497, train_acc=0.720, test_error=0.676, test_acc=0.156"
">epoch=81, lrate=0.001, train_error=0.496, train_acc=0.722, test_error=0.674, test_acc=0.156"
">epoch=82, lrate=0.001, train_error=0.494, train_acc=0.724, test_error=0.670, test_acc=0.156"
">epoch=83, lrate=0.001, train_error=0.493, train_acc=0.726, test_error=0.667, test_acc=0.157"
">epoch=84, lrate=0.001, train_error=0.491, train_acc=0.727, test_error=0.663, test_acc=0.157"
">epoch=85, lrate=0.001, train_error=0.489, train_acc=0.728, test_error=0.661, test_acc=0.156"
">epoch=86, lrate=0.001, train_error=0.485, train_acc=0.732, test_error=0.657, test_acc=0.157"
">epoch=87, lrate=0.001, train_error=0.482, train_acc=0.733, test_error=0.655, test_acc=0.158"
">epoch=88, lrate=0.001, train_error=0.478, train_acc=0.733, test_error=0.651, test_acc=0.158"
">epoch=89, lrate=0.001, train_error=0.473, train_acc=0.737, test_error=0.645, test_acc=0.158"
">epoch=90, lrate=0.001, train_error=0.469, train_acc=0.739, test_error=0.643, test_acc=0.159"
">epoch=91, lrate=0.001, train_error=0.464, train_acc=0.743, test_error=0.643, test_acc=0.159"
">epoch=92, lrate=0.001, train_error=0.460, train_acc=0.745, test_error=0.643, test_acc=0.160"
">epoch=93, lrate=0.001, train_error=0.455, train_acc=0.747, test_error=0.642, test_acc=0.161"
">epoch=94, lrate=0.001, train_error=0.451, train_acc=0.750, test_error=0.642, test_acc=0.161"
">epoch=95, lrate=0.001, train_error=0.447, train_acc=0.754, test_error=0.641, test_acc=0.162"
">epoch=96, lrate=0.001, train_error=0.443, train_acc=0.756, test_error=0.639, test_acc=0.163"
">epoch=97, lrate=0.001, train_error=0.439, train_acc=0.761, test_error=0.634, test_acc=0.163"
">epoch=98, lrate=0.001, train_error=0.436, train_acc=0.763, test_error=0.633, test_acc=0.164"
">epoch=99, lrate=0.001, train_error=0.434, train_acc=0.764, test_error=0.632, test_acc=0.164"
">epoch=100, lrate=0.001, train_error=0.432, train_acc=0.765, test_error=0.629, test_acc=0.164"
">epoch=101, lrate=0.001, train_error=0.431, train_acc=0.766, test_error=0.625, test_acc=0.165"
">epoch=102, lrate=0.001, train_error=0.429, train_acc=0.766, test_error=0.622, test_acc=0.166"
">epoch=103, lrate=0.001, train_error=0.428, train_acc=0.766, test_error=0.619, test_acc=0.166"
">epoch=104, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.616, test_acc=0.166"
">epoch=105, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.614, test_acc=0.166"
">epoch=106, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.611, test_acc=0.166"
">epoch=107, lrate=0.001, train_error=0.427, train_acc=0.765, test_error=0.608, test_acc=0.166"
">epoch=108, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.604, test_acc=0.167"
">epoch=109, lrate=0.001, train_error=0.428, train_acc=0.764, test_error=0.601, test_acc=0.167"
">epoch=110, lrate=0.001, train_error=0.428, train_acc=0.766, test_error=0.596, test_acc=0.169"
">epoch=111, lrate=0.001, train_error=0.429, train_acc=0.765, test_error=0.592, test_acc=0.169"
">epoch=112, lrate=0.001, train_error=0.430, train_acc=0.763, test_error=0.587, test_acc=0.169"
">epoch=113, lrate=0.001, train_error=0.431, train_acc=0.763, test_error=0.584, test_acc=0.170"
">epoch=114, lrate=0.001, train_error=0.431, train_acc=0.762, test_error=0.581, test_acc=0.170"
">epoch=115, lrate=0.001, train_error=0.432, train_acc=0.763, test_error=0.581, test_acc=0.169"
">epoch=116, lrate=0.001, train_error=0.433, train_acc=0.762, test_error=0.579, test_acc=0.170"
">epoch=117, lrate=0.001, train_error=0.434, train_acc=0.762, test_error=0.577, test_acc=0.170"
">epoch=118, lrate=0.001, train_error=0.435, train_acc=0.762, test_error=0.577, test_acc=0.170"
">epoch=119, lrate=0.001, train_error=0.436, train_acc=0.762, test_error=0.573, test_acc=0.171"
">epoch=120, lrate=0.001, train_error=0.437, train_acc=0.761, test_error=0.571, test_acc=0.171"
">epoch=121, lrate=0.001, train_error=0.439, train_acc=0.760, test_error=0.570, test_acc=0.173"
">epoch=122, lrate=0.001, train_error=0.440, train_acc=0.758, test_error=0.566, test_acc=0.173"
">epoch=123, lrate=0.001, train_error=0.441, train_acc=0.757, test_error=0.562, test_acc=0.173"
">epoch=124, lrate=0.001, train_error=0.442, train_acc=0.757, test_error=0.559, test_acc=0.174"
">epoch=125, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.557, test_acc=0.174"
">epoch=126, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.552, test_acc=0.174"
">epoch=127, lrate=0.001, train_error=0.443, train_acc=0.757, test_error=0.549, test_acc=0.175"
">epoch=128, lrate=0.001, train_error=0.442, train_acc=0.756, test_error=0.544, test_acc=0.176"
">epoch=129, lrate=0.001, train_error=0.441, train_acc=0.756, test_error=0.540, test_acc=0.176"
">epoch=130, lrate=0.001, train_error=0.440, train_acc=0.756, test_error=0.538, test_acc=0.177"
">epoch=131, lrate=0.001, train_error=0.440, train_acc=0.757, test_error=0.535, test_acc=0.177"
">epoch=132, lrate=0.001, train_error=0.439, train_acc=0.758, test_error=0.531, test_acc=0.178"
">epoch=133, lrate=0.001, train_error=0.438, train_acc=0.759, test_error=0.528, test_acc=0.178"
">epoch=134, lrate=0.001, train_error=0.436, train_acc=0.759, test_error=0.526, test_acc=0.177"
">epoch=135, lrate=0.001, train_error=0.434, train_acc=0.761, test_error=0.524, test_acc=0.178"
">epoch=136, lrate=0.001, train_error=0.432, train_acc=0.763, test_error=0.523, test_acc=0.178"
">epoch=137, lrate=0.001, train_error=0.430, train_acc=0.765, test_error=0.523, test_acc=0.178"
">epoch=138, lrate=0.001, train_error=0.428, train_acc=0.765, test_error=0.523, test_acc=0.177"
">epoch=139, lrate=0.001, train_error=0.425, train_acc=0.765, test_error=0.523, test_acc=0.177"
">epoch=140, lrate=0.001, train_error=0.422, train_acc=0.769, test_error=0.523, test_acc=0.176"
">epoch=141, lrate=0.001, train_error=0.419, train_acc=0.769, test_error=0.521, test_acc=0.176"
">epoch=142, lrate=0.001, train_error=0.416, train_acc=0.771, test_error=0.520, test_acc=0.176"
">epoch=143, lrate=0.001, train_error=0.414, train_acc=0.771, test_error=0.522, test_acc=0.176"
">epoch=144, lrate=0.001, train_error=0.412, train_acc=0.773, test_error=0.521, test_acc=0.176"
">epoch=145, lrate=0.001, train_error=0.411, train_acc=0.775, test_error=0.523, test_acc=0.176"
">epoch=146, lrate=0.001, train_error=0.410, train_acc=0.776, test_error=0.525, test_acc=0.176"
">epoch=147, lrate=0.001, train_error=0.408, train_acc=0.776, test_error=0.527, test_acc=0.176"
">epoch=148, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.529, test_acc=0.176"
">epoch=149, lrate=0.001, train_error=0.407, train_acc=0.776, test_error=0.531, test_acc=0.175"
">epoch=150, lrate=0.001, train_error=0.406, train_acc=0.777, test_error=0.533, test_acc=0.175"
